algorithm,target,hidden_dim,dropout,learning_rate,weight_decay,epochs,outer_folds,inner_folds,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,mae_ordinal,qwk,accuracy_pm1,errores_graves,accuracy_std,balanced_accuracy_std,precision_macro_std,recall_macro_std,f1_macro_std,mae_ordinal_std,qwk_std,accuracy_pm1_std,errores_graves_std
Softmax,GDS,32,0.15,0.001,0.0001,20,2,2,0.5406305903398927,0.22400440325272541,0.2138219591542323,0.22400440325272541,0.20463804127531193,0.5353389343214925,0.534020219744501,0.9356551878354205,0.0643448121645796,0.03436940966010732,0.021432193459039087,0.0047032246251887955,0.021432193459039087,0.018885631537151143,0.04426750575006391,0.06977983637447122,0.0018448121645796012,0.0018448121645796081
Softmax,GDS_R1,32,0.15,0.001,0.0001,20,5,3,0.8918882126841767,0.49715770908753365,0.5165608954390374,0.49715770908753365,0.5048017719415021,0.10900464445868034,0.6152957347072334,0.9991071428571429,0.0008928571428571428,0.03027297344175687,0.041485998585721794,0.049047885663269446,0.041485998585721794,0.044257859002276155,0.030297053719195156,0.09422250901694011,0.0017857142857142794,0.0017857142857142857
Softmax,GDS_R2,32,0.15,0.001,0.0001,20,5,3,0.7264854260089686,0.6383941646961888,0.6872818918937189,0.6383941646961888,0.6534028248986,0.29318545803971807,0.6867456253360628,0.9803291159513133,0.019670884048686738,0.036057115799312235,0.037622804050294396,0.03884447615689303,0.037622804050294396,0.034660912524582116,0.04288360217587647,0.05920415793300703,0.007298531533656925,0.007298531533656925
Softmax,GDS_R3,32,0.15,0.001,0.0001,20,5,3,0.9097533632286996,0.7706945468245778,0.8565348647737154,0.7706945468245778,0.8041156992439664,0.09024663677130045,0.6098012351519302,1.0,0.0,0.019796150711584175,0.03708563362062242,0.049659876872965074,0.03708563362062242,0.040632523381782276,0.019796150711584196,0.081021110575407,0.0,0.0
Softmax,GDS_R4,32,0.15,0.001,0.0001,20,5,3,0.8319907110826394,0.5065161664609179,0.5436233066821321,0.5065161664609179,0.5125759584787248,0.1680092889173607,0.28279610022931057,1.0,0.0,0.0046220139871465254,0.020649509479640935,0.020018278769580154,0.020649509479640935,0.016611459106198496,0.004622013987146497,0.03208962832014583,0.0,0.0
Softmax,GDS_R5,32,0.15,0.001,0.0001,20,5,3,0.7783792440743114,0.5158386404876417,0.5217313625195893,0.5158386404876417,0.5100567539998606,0.22162075592568864,0.4396146420866744,1.0,0.0,0.00905012694541773,0.014598953256079685,0.015993912782190256,0.014598953256079685,0.014755485113613527,0.009050126945417757,0.02657538831162195,0.0,0.0
