algorithm,target,hidden_dim,dropout,learning_rate,weight_decay,epochs,outer_folds,inner_folds,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,mae_ordinal,qwk,accuracy_pm1,errores_graves,accuracy_std,balanced_accuracy_std,precision_macro_std,recall_macro_std,f1_macro_std,mae_ordinal_std,qwk_std,accuracy_pm1_std,errores_graves_std
CORAL,GDS,32,0.15,0.001,0.0001,20,2,2,0.29044211602351133,0.35900571630389466,0.3454099084911879,0.35900571630389466,0.29365815027464925,0.874001725019167,0.6178680231709882,0.8525316253513928,0.1474683746486072,0.004727830309225661,0.01719269385808217,0.018581806038085458,0.01719269385808217,0.027361313793579173,0.007930296447738294,0.001398807409779823,0.017111231791464343,0.017111231791464343
CORAL,GDS_R1,32,0.15,0.001,0.0001,20,5,3,0.8802490390775144,0.6604622667780562,0.7388124555851089,0.6604622667780562,0.6012405895193944,0.12332238949391416,0.6236657429614075,0.9964285714285716,0.0035714285714285713,0.007159622639187556,0.061026678289051776,0.07912015416102074,0.061026678289051776,0.03603312286849294,0.006011533638362183,0.025711648242641147,0.0033407655239052927,0.003340765523905305
CORAL,GDS_R2,32,0.15,0.001,0.0001,20,5,3,0.7229340166559898,0.6331432833283096,0.666606309101406,0.6331432833283096,0.6174488978347694,0.30478459320948104,0.687181397793349,0.9722813901345292,0.02771860986547085,0.022859693005091018,0.029687215591306767,0.03708819211024134,0.029687215591306767,0.029708336366067047,0.030629641317493163,0.0485678345902492,0.009180033907195214,0.00918003390719522
CORAL,GDS_R3,32,0.15,0.001,0.0001,20,5,3,0.9124399423446509,0.7722734941929988,0.8692337093265028,0.7722734941929988,0.8085331233206269,0.08756005765534913,0.6189144694461577,1.0,0.0,0.019823116234621924,0.03502501675106768,0.05517957836986064,0.03502501675106768,0.039665698192447627,0.019823116234621914,0.07907109100273713,0.0,0.0
CORAL,GDS_R4,32,0.15,0.001,0.0001,20,5,3,0.580004804612428,0.7215723629897759,0.5420529586337457,0.7215723629897759,0.5457707576316941,0.419995195387572,0.37992446873556524,1.0,0.0,0.024238165210753938,0.026774916820230966,0.020884154908339805,0.026774916820230966,0.018291071993350665,0.02423816521075395,0.02035803188900022,0.0,0.0
CORAL,GDS_R5,32,0.15,0.001,0.0001,20,5,3,0.48880124919923124,0.6602755862700752,0.5272357054031781,0.6602755862700752,0.4959582467792812,0.5201393337604101,0.4585318845694541,0.9910594170403588,0.008940582959641254,0.03344330273564862,0.02606286070963001,0.025405395743078478,0.02606286070963001,0.030169890609470205,0.034689503677328946,0.03125624692780812,0.006321986776179567,0.006321986776179545
