algorithm,target,hidden_dim,dropout,learning_rate,weight_decay,epochs,outer_folds,inner_folds,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,mae_ordinal,qwk,accuracy_pm1,errores_graves,accuracy_std,balanced_accuracy_std,precision_macro_std,recall_macro_std,f1_macro_std,mae_ordinal_std,qwk_std,accuracy_pm1_std,errores_graves_std
CORAL_pesos,GDS_R3,32,0.15,0.001,0.0001,20,5,3,0.913332799487508,0.777458679378184,0.8695695173446124,0.777458679378184,0.8116489217483267,0.086667200512492,0.6250809758310532,1.0,0.0,0.0196237418523824,0.039376387905405257,0.054963717769161355,0.039376387905405257,0.04034677319779306,0.019623741852382387,0.08030077582132689,0.0,0.0
CORAL_pesos,GDS_R1,32,0.15,0.001,0.0001,20,5,3,0.8775744714926329,0.6537956001113896,0.7314698328706288,0.6537956001113896,0.5843718084814661,0.12599695707879563,0.6268407272325524,0.9964285714285716,0.0035714285714285713,0.007166372436999446,0.06323614601239856,0.07805125090188633,0.06323614601239856,0.051975841728958104,0.00899481463298356,0.023255896219241772,0.0033407655239052927,0.003340765523905305
CORAL_pesos,GDS_R2,32,0.15,0.001,0.0001,20,5,3,0.7184497117232544,0.6318134267442158,0.6592567762900491,0.6318134267442158,0.6164433168975967,0.3083680333119795,0.6860669115447771,0.9731822549647662,0.026817745035233827,0.030550998637790757,0.033603955153201484,0.04712629915935716,0.033603955153201484,0.03159226386888328,0.03574398036352563,0.048227071376027636,0.006358913069322592,0.006358913069322612
CORAL_pesos,GDS_R4,32,0.15,0.001,0.0001,20,5,3,0.5808976617552851,0.7296668404307955,0.545932641249614,0.7296668404307955,0.5484486660572291,0.4191023382447149,0.386054074978592,1.0,0.0,0.024642452826007764,0.025723017723506228,0.015170168485739259,0.025723017723506228,0.014192448488446321,0.024642452826007775,0.02165313661365625,0.0,0.0
CORAL_pesos,GDS_R5,32,0.15,0.001,0.0001,20,5,3,0.48880124919923124,0.6602755862700752,0.5272357054031781,0.6602755862700752,0.4959582467792812,0.5201393337604101,0.4585318845694541,0.9910594170403588,0.008940582959641254,0.03344330273564862,0.02606286070963001,0.025405395743078478,0.02606286070963001,0.030169890609470205,0.034689503677328946,0.03125624692780812,0.006321986776179567,0.006321986776179545
CORAL_pesos,GDS,32,0.15,0.001,0.0001,20,2,2,0.3145652312803475,0.4283475465603941,0.2952396518825609,0.4283475465603941,0.26074868563163367,0.8471920521339127,0.6602634640738105,0.8561126373626373,0.14388736263736263,0.0015061972910810075,0.01129988884926561,0.013175982375843498,0.01129988884926561,0.017302735951000917,0.00790633784819833,0.011439275943911309,0.009958791208791229,0.009958791208791215
